item,itemLabel,imdbidLabel
http://www.wikidata.org/entity/Q3191765,Kader Khan,nm0434318
http://www.wikidata.org/entity/Q3192675,Kanishtha Dhankar,nm3195958
http://www.wikidata.org/entity/Q3196775,Rakhee Gulzar,nm0347901
http://www.wikidata.org/entity/Q3381455,Shivshakti Sachdev,nm6012416
http://www.wikidata.org/entity/Q3111264,Pran,nm0695199
http://www.wikidata.org/entity/Q3115713,Priyadarshan,nm0698184
http://www.wikidata.org/entity/Q3191769,Kathir,nm0997190
http://www.wikidata.org/entity/Q3115598,M. S. Viswanathan,nm0530818
http://www.wikidata.org/entity/Q3182985,Johnny Walker,nm0907888
http://www.wikidata.org/entity/Q3489680,Gulshan Grover,nm0004109
http://www.wikidata.org/entity/Q3494299,Neha Dhupia,nm1226448
http://www.wikidata.org/entity/Q3494290,Upen Patel,nm1574606
http://www.wikidata.org/entity/Q3494501,Shiney Ahuja,nm1832004
http://www.wikidata.org/entity/Q3344874,Harman Baweja,nm2102514
http://www.wikidata.org/entity/Q3345399,Bappi Lahiri,nm0481568
http://www.wikidata.org/entity/Q3501376,Soundarya,nm0815897
http://www.wikidata.org/entity/Q3349404,Salil Chowdhury,nm0006005
http://www.wikidata.org/entity/Q3351697,Puneeth Rajkumar,nm2500160
http://www.wikidata.org/entity/Q3515360,Tanvi Ganesh Lonkar,nm3193992
http://www.wikidata.org/entity/Q3518417,Mallika Sarabhai Shah,nm0764713
http://www.wikidata.org/entity/Q3519929,Bombay Jayashri,nm1425113
http://www.wikidata.org/entity/Q3519936,Priyamani,nm1421465
http://www.wikidata.org/entity/Q3520260,Kamalinee Mukherjee,nm2151543
http://www.wikidata.org/entity/Q3518383,Jaya Prada,nm0419685
http://www.wikidata.org/entity/Q3519791,Rambha,nm0708095
http://www.wikidata.org/entity/Q3288504,Marc Zuber,nm0958250
http://www.wikidata.org/entity/Q3228884,Sukanya,nm0837700
http://www.wikidata.org/entity/Q3236611,Bhumika Chawla,nm0154653
http://www.wikidata.org/entity/Q3481124,Shaad Ali,nm1249945
http://www.wikidata.org/entity/Q3374204,Peeya Rai Chowdhary,nm1569814
http://www.wikidata.org/entity/Q464932,Jaya Bachchan,nm0080149
http://www.wikidata.org/entity/Q468442,Karan Johar,nm0424103
http://www.wikidata.org/entity/Q469887,Kim Sharma,nm0788881
http://www.wikidata.org/entity/Q541513,Simi Garewal,nm0307231
http://www.wikidata.org/entity/Q555778,Babul Supriyo,nm0839514
http://www.wikidata.org/entity/Q684474,Siddharth Anand,nm1893457
http://www.wikidata.org/entity/Q339896,Ajith Kumar,nm0015001
http://www.wikidata.org/entity/Q331155,Shruti Haasan,nm1599046
http://www.wikidata.org/entity/Q337434,Mandakini,nm0541597
http://www.wikidata.org/entity/Q485557,Rani Mukherjee,nm0611552
http://www.wikidata.org/entity/Q334825,Pramathesh Barua,nm0059400
http://www.wikidata.org/entity/Q540496,Garikapati Varalakshmi,nm0299885
http://www.wikidata.org/entity/Q547900,Srividya,nm0820286
http://www.wikidata.org/entity/Q560094,Uday Chopra,nm0159167
http://www.wikidata.org/entity/Q465848,Meena Kumari,nm0474932
http://www.wikidata.org/entity/Q466320,Mira Nair,nm0619762
http://www.wikidata.org/entity/Q468309,Vijay Amritraj,nm0025398
http://www.wikidata.org/entity/Q431002,Laila Mehdin,nm0481798
http://www.wikidata.org/entity/Q475162,Mohan Agashe,nm0012881
http://www.wikidata.org/entity/Q834338,Boman Irani,nm1224082
http://www.wikidata.org/entity/Q464873,Leela Chitnis,nm0158332
http://www.wikidata.org/entity/Q330970,Anushka Shetty,nm2011932
http://www.wikidata.org/entity/Q331172,Abrar Alvi,nm0023551
http://www.wikidata.org/entity/Q469215,Sneha Ullal,nm1840780
http://www.wikidata.org/entity/Q510101,Seeta Devi,nm0222489
http://www.wikidata.org/entity/Q523103,Bina Rai,nm0706790
http://www.wikidata.org/entity/Q369711,Cyrus Sahukar,nm1213909
http://www.wikidata.org/entity/Q533341,Mahalakshmi Iyer,nm0536739
http://www.wikidata.org/entity/Q337482,Dhirendra Nath Ganguly,nm0304358
http://www.wikidata.org/entity/Q738291,Riteish Deshmukh,nm1299011
http://www.wikidata.org/entity/Q748926,Riya Sen,nm1116258
http://www.wikidata.org/entity/Q448318,Jayshree Gadkar,nm1024354
http://www.wikidata.org/entity/Q368447,Dino Morea,nm0603352
http://www.wikidata.org/entity/Q330889,Silambarasan Rajendar,nm1167656
http://www.wikidata.org/entity/Q465208,Jhumpa Lahiri,nm1768298
http://www.wikidata.org/entity/Q335238,Rahul Bose,nm0097893
http://www.wikidata.org/entity/Q465981,Karen David,nm1314042
http://www.wikidata.org/entity/Q466974,Eesha Koppikhar,nm0465929
http://www.wikidata.org/entity/Q467964,Divya Dutta,nm0244890
http://www.wikidata.org/entity/Q487198,Mahi Gill,nm2977124
http://www.wikidata.org/entity/Q405619,Phani Sarma,nm0765346
http://www.wikidata.org/entity/Q365007,Minissha Lamba,nm1999369
http://www.wikidata.org/entity/Q381477,Kamal Haasan,nm0352032
http://www.wikidata.org/entity/Q429143,K. S. Ravikumar,nm0433893
http://www.wikidata.org/entity/Q434399,Asha Puthli,nm0701176
http://www.wikidata.org/entity/Q443958,Lhakpa Tsamchoe,nm0874661
http://www.wikidata.org/entity/Q448040,Jwala Gutta,nm5627774
http://www.wikidata.org/entity/Q402203,Koel Mullick,nm3359800
http://www.wikidata.org/entity/Q540483,Patience Cooper,nm0178292
http://www.wikidata.org/entity/Q711035,Erick Avari,nm0042805
http://www.wikidata.org/entity/Q717997,Nandita Das,nm0201903
http://www.wikidata.org/entity/Q467403,Nafisa Joseph,nm3952022
http://www.wikidata.org/entity/Q466826,Alka Yagnik,nm0003504
http://www.wikidata.org/entity/Q467074,Gayatri Joshi,nm1539666
http://www.wikidata.org/entity/Q725062,Vijay Arora,nm0037026
http://www.wikidata.org/entity/Q427623,Perizaad Zorabian,nm1106754
http://www.wikidata.org/entity/Q726195,Ashok Mehta,nm0576543
http://www.wikidata.org/entity/Q470898,Sonu Nigam,nm0631415
http://www.wikidata.org/entity/Q477710,Amrita Prakash,nm1671668
http://www.wikidata.org/entity/Q705446,Subhashree Ganguly,nm3367906
http://www.wikidata.org/entity/Q483383,Karthika Mathew,nm1470800
http://www.wikidata.org/entity/Q718211,Tisca Chopra,nm1538116
http://www.wikidata.org/entity/Q496683,Jamila Massey,nm0557316
http://www.wikidata.org/entity/Q464578,Karisma Kapoor,nm0006433
http://www.wikidata.org/entity/Q464835,Padma Lakshmi,nm0482290
http://www.wikidata.org/entity/Q467416,Shweta Tiwari,nm1748819
http://www.wikidata.org/entity/Q786469,Pooja Bhatt,nm0080324
http://www.wikidata.org/entity/Q491459,Chetana Das,nm2762787
http://www.wikidata.org/entity/Q630736,Goutam Ghose,nm0315872
http://www.wikidata.org/entity/Q422838,Surinder Kaur,nm1348390
http://www.wikidata.org/entity/Q511589,Abhay Deol,nm1867717
http://www.wikidata.org/entity/Q519392,Gita Dey,nm0212542
http://www.wikidata.org/entity/Q522232,Shekhar Kapur,nm0001408
http://www.wikidata.org/entity/Q804792,Baldev Raj Chopra,nm0159148
http://www.wikidata.org/entity/Q579995,Namrata Shirodkar,nm0794363
http://www.wikidata.org/entity/Q539885,S. Varalakshmi,nm0754177
http://www.wikidata.org/entity/Q590853,Farhan Akhtar,nm1027719
http://www.wikidata.org/entity/Q863846,Sarah-Jane Dias,nm3591549
http://www.wikidata.org/entity/Q704859,Arshad Warsi,nm0451174
http://www.wikidata.org/entity/Q614907,Sonakshi Sinha,nm3848064
http://www.wikidata.org/entity/Q617926,Sundaram Balachander,nm0049336
http://www.wikidata.org/entity/Q725970,David Dhawan,nm0223522
http://www.wikidata.org/entity/Q642827,Allu Arjun,nm1084853
http://www.wikidata.org/entity/Q764803,Honey Irani,nm0409790
http://www.wikidata.org/entity/Q720315,Chetan Anand,nm0025608
http://www.wikidata.org/entity/Q729982,R. Madhavan,nm0534856
http://www.wikidata.org/entity/Q863662,Bindu De Stoppani,nm0211869
http://www.wikidata.org/entity/Q785011,Gemini Ganesan,nm0304261
http://www.wikidata.org/entity/Q770376,Nitai Palit,nm0657706
http://www.wikidata.org/entity/Q539237,Sheela,nm0790660
http://www.wikidata.org/entity/Q853292,Archana Jose Kavi,nm3896678
http://www.wikidata.org/entity/Q893134,Kavita Lad,nm2588610
http://www.wikidata.org/entity/Q855128,Bhupen Hazarika,nm0371913
http://www.wikidata.org/entity/Q724568,Jagannathan,nm1441726
http://www.wikidata.org/entity/Q863745,Neha Sharma,nm2777281
http://www.wikidata.org/entity/Q558189,Kapil Dev,nm1337956
http://www.wikidata.org/entity/Q601272,Rohan Kapoor,nm1225454
http://www.wikidata.org/entity/Q702788,Sindhu Menon,nm1432049
http://www.wikidata.org/entity/Q2762152,Sajid Khan,nm0451309
http://www.wikidata.org/entity/Q2220177,Sana Saeed,nm0755705
http://www.wikidata.org/entity/Q2162531,Girish Kulkarni,nm2971390
http://www.wikidata.org/entity/Q2364052,Sujit Kumar,nm0474895
http://www.wikidata.org/entity/Q2344606,Sukhwinder Singh,nm0802240
http://www.wikidata.org/entity/Q2049982,Unni Menon,nm0579771
http://www.wikidata.org/entity/Q2107874,Prashanta Nanda,nm0620788
http://www.wikidata.org/entity/Q2049922,Chinmayi Sripada,nm1819884
http://www.wikidata.org/entity/Q2051781,Vineeth Sreenivasan,nm2068971
http://www.wikidata.org/entity/Q2051905,Vijay Yesudas,nm1320481
http://www.wikidata.org/entity/Q2050056,Sadhana Sargam,nm0765071
http://www.wikidata.org/entity/Q2050197,P. Susheela,nm0654915
http://www.wikidata.org/entity/Q2050320,Mamta Mohandas,nm1952830
http://www.wikidata.org/entity/Q2051309,Jayachandran,nm1172381
http://www.wikidata.org/entity/Q2086574,Hansika Motwani,nm1394426
http://www.wikidata.org/entity/Q2100285,Shishir Kurup,nm0476094
http://www.wikidata.org/entity/Q2304092,Soumendu Roy,nm0747185
http://www.wikidata.org/entity/Q2050788,Shreya Ghoshal,nm1304975
http://www.wikidata.org/entity/Q2051637,Santhosh Pandit,nm4742828
http://www.wikidata.org/entity/Q2628657,Nicole Faria,nm6130777
http://www.wikidata.org/entity/Q2681568,Zerifa Wahid,nm2883063
http://www.wikidata.org/entity/Q2700181,Gul Panag,nm1493836
http://www.wikidata.org/entity/Q2051296,S. Janaki,nm0754169
http://www.wikidata.org/entity/Q2051336,Vani Jairam,nm0415854
http://www.wikidata.org/entity/Q2721485,Ankita Lokhande,nm3860509
http://www.wikidata.org/entity/Q2722170,Salil Ankola,nm1265127
http://www.wikidata.org/entity/Q2514244,Tina Desai,nm3867591
http://www.wikidata.org/entity/Q2748506,Harris Jayaraj,nm1069415
http://www.wikidata.org/entity/Q2342144,Neil Nitin Mukesh,nm1778703
http://www.wikidata.org/entity/Q2084789,Phani Burma,nm0122173
http://www.wikidata.org/entity/Q2069891,Rajkumar Santoshi,nm0764316
http://www.wikidata.org/entity/Q2360082,Reema Sen,nm1032614
http://www.wikidata.org/entity/Q2737601,Kunal Kapoor,nm1577858
http://www.wikidata.org/entity/Q2107247,Prabhat Mukherjee,nm0611542
http://www.wikidata.org/entity/Q2210343,Rajan P. Dev,nm0222145
http://www.wikidata.org/entity/Q2433720,Tillotama Shome,nm0794818
http://www.wikidata.org/entity/Q2294941,Smaran Ghosal,nm0315871
http://www.wikidata.org/entity/Q2459573,Tulsi Lahiri,nm0481576
http://www.wikidata.org/entity/Q2190753,Manasi Salvi,nm4406001
http://www.wikidata.org/entity/Q2679233,Yo Yo Honey Singh,nm4770760
http://www.wikidata.org/entity/Q2190510,Siddarth Jadhav,nm2847166
http://www.wikidata.org/entity/Q2360377,Geeta Bali,nm0050188
http://www.wikidata.org/entity/Q2700318,Randhir Kapoor,nm0196380
http://www.wikidata.org/entity/Q2721714,Ambareesh,nm0024259
http://www.wikidata.org/entity/Q2721590,Suhasi Goradia Dhami,nm3772224
