,wiki_id
262,Q5608
263,Q131285
264,Q159347
265,Q193653
266,Q460277
267,Q51575
268,Q269692
269,Q357210
270,Q51537
271,Q294641
272,Q273215
273,Q298818
274,Q51547
275,Q2832952
276,Q230126
277,Q329719
278,Q337658
279,Q228650
280,Q296491
281,Q232588
282,Q310960
283,Q7279398
284,Q95068
285,NULL
286,Q310413
287,Q434342
288,Q7182133
289,Q48987
290,Q230136
291,Q219521
292,Q313566
293,Q263663
294,Q295463
295,Q224021
296,Q191027
297,Q182408
298,Q181887
299,Q1111542
300,Q55796
301,Q3074245
302,Q471309
303,Q188726
304,Q182104
305,Q181774
306,Q95089
307,Q182486
308,Q51114
309,Q416967
310,Q296630
311,Q239691
312,Q181917
313,Q232541
314,Q253384
315,Q1339448
316,Q59129
317,Q232562
318,Q59824
319,Q336841
320,Q312107
321,Q314142
322,Q316641
323,Q51525
324,Q1368300
325,Q23301
326,Q126098
327,Q233850
328,Q94041
329,Q230795
330,Q8704
331,NULL
332,Q344735
333,Q95076
334,Q295593
335,Q55260
336,Q350678
337,Q95055
338,Q203819
339,Q314935
340,Q910486
341,Q230448
342,Q230214
343,Q2808
344,Q942932
345,Q313256
346,Q55264
347,Q352948
348,Q44857
349,Q119935
350,Q545573
351,Q357627
352,Q232109
353,Q328723
354,Q315728
355,Q53009
356,Q2747456
357,NULL
358,Q263486
359,Q55428
360,Q140017
361,Q174908
362,Q206439
363,Q295912
364,Q95125
365,Q72717
366,Q704378
367,Q94992
368,Q25369
369,Q233832
370,Q234169
371,Q968840
372,Q912327
373,Q106221
374,Q2599
375,Q1969967
376,Q204685
377,Q72984
378,Q291141
379,Q51495
380,Q144622
381,Q59821
382,Q392
383,Q7141888
384,Q233845
385,Q461529
386,Q23848
387,Q212957
388,Q344758
389,Q229169
390,Q350666
391,Q269214
392,Q336018
393,Q344793
394,Q228904
395,Q182431
396,Q358370
397,Q312084
398,Q956533
399,Q313198
400,Q418582
401,Q51491
402,Q315723
403,Q181819
404,Q25134
405,Q585668
406,Q106126
407,Q51535
408,Q5107464
409,Q51583
410,Q181786
411,Q294454
412,Q402649
413,Q235077
414,Q546204
415,Q2318712
416,Q315734
417,Q253282
418,Q95019
419,Q457493
420,Q1349456
421,Q318312
422,Q365230
423,Q51577
424,Q2632
425,Q230626
426,Q220010
427,Q56014
428,Q72267
429,Q2546373
430,Q460144
431,Q230143
432,Q361336
433,Q162621
434,Q1203
435,Q207773
436,Q925302
437,Q213302
438,Q717302
439,Q155124
440,Q296698
441,Q51570
442,Q182292
443,Q260125
444,Q104109
445,Q329577
446,Q588745
447,Q253298
448,Q55303
449,Q1394956
450,Q1181116
451,Q721922
452,Q506885
453,Q721219
454,Q436223
455,Q253308
456,Q182349
457,Q239770
458,Q495321
459,Q55420
460,Q262735
461,Q239745
462,Q322179
463,Q2643
464,Q230841
465,Q450720
466,Q223988
467,Q362930
468,Q30639849
469,Q336640
470,Q313362
471,Q6317989
472,Q317272
473,Q419454
474,Q108560
475,Q230159
476,Q234961
477,Q28534111
478,Q528058
479,Q1225
480,Q182462
481,Q318475
482,Q116983
483,Q547495
484,Q56011
485,Q341873
486,Q934964
487,Q29585307
488,Q296796
489,Q51490
490,Q1971984
491,Q28556
492,Q310934
493,Q6092676
494,Q7347926
495,Q95143
496,Q232532
497,Q116861
498,Q51503
499,Q151231
500,Q290666
501,Q370765
502,Q264276
503,Q59085
504,Q457279
505,Q52411
506,NULL
507,Q540784
508,NULL
509,Q166887
510,Q977546
511,Q515274
512,Q258156
513,Q296804
514,Q706993
515,Q460662
516,Q320211
517,Q1299
518,Q76081666
519,Q714
520,Q4980101
521,Q320025
522,Q1935109
523,Q363413
524,Q705156
525,Q6272528
526,Q2221492
527,Q7177037
528,Q367073
529,Q3208159
530,Q18994
531,Q950428
532,Q181683
533,Q279100
534,Q26695
535,Q180251
536,Q153172
537,Q62503
538,Q12059144
539,Q344750
540,Q230147
541,Q740071
542,Q23215
543,Q353788
544,Q963628
545,Q212762
546,Q5249738
547,Q816456
548,Q350690
549,Q152888
550,Q21012756
551,Q182057
552,Q720293
553,Q7176523
554,Q299419
555,Q611586
556,Q2161534
557,Q240566
558,Q19282738
559,Q15123969
560,Q1926986
561,Q182870
562,Q611672
563,Q1382544
564,Q1314113
565,Q2499079
566,Q295093
567,Q290962
568,Q180975
569,Q380920
570,Q312364
571,Q7357051
572,Q345494
573,Q6178529
574,Q336206
575,Q312674
576,Q28534248
577,Q312657
578,Q93632
579,Q337206
580,Q294773
581,Q60784779
582,Q312434
583,Q5110079
584,Q153579
585,Q77181
586,Q16208322
587,Q20668153
588,Q111436
589,Q1039543
590,Q185928
591,Q105487
592,Q573164
593,Q520346
594,Q1392079
595,Q490198
596,Q349248
597,Q1334295
598,Q312290
599,Q302645
600,Q6199802
601,Q22074016
602,Q648611
603,Q918558
604,Q956822
605,Q185655
606,Q312073
607,Q1225141
608,Q116854
609,Q99372651
610,Q1312577
611,Q270038
612,Q1018606
613,Q508660
614,Q60842615
615,Q429715
616,Q2318968
617,Q1379980
618,NULL
619,Q306891
620,Q297935
621,Q1385337
622,Q360399
623,Q750718
624,Q18341834
625,Q463119
626,Q267441
627,Q15885378
628,Q4723204
629,Q281939
630,Q931009
631,Q264565
632,Q6139878
633,Q536884
634,Q60191900
635,Q230832
636,Q425821
637,Q6289383
638,Q436704
639,Q332530
640,Q944140
641,Q22073999
642,Q412953
643,Q440313
644,Q285928
645,Q6187572
646,Q719035
647,Q11775366
648,Q1077553
649,Q95111
650,Q105118
651,NULL
652,Q22350284
653,Q369190
654,Q455749
655,Q22075563
656,Q3942970
657,Q230128
658,Q1336850
659,Q1337082
660,Q1226913
661,Q519473
662,Q505940
663,Q449349
664,Q1174454
665,Q367084
666,Q16102971
667,Q653159
668,Q312640
669,Q313281
670,Q359311
671,Q849884
672,Q7815460
673,Q1986436
674,Q1339491
675,Q991682
676,Q6766850
677,Q7482626
678,Q61740820
679,Q232879
680,Q166000
681,Q1335915
682,Q2941990
683,Q3141525
684,Q15884784
685,Q16730623
686,Q53006
687,Q15885146
688,Q2394090
689,Q26062
690,Q977853
691,Q266521
692,Q458815
693,Q942506
694,Q214665
695,Q6437747
696,Q926054
697,Q1336515
698,Q15838495
699,Q6499321
700,Q4678938
701,Q1265581
702,Q11638102
703,Q350704
704,Q3563826
705,Q55230
706,Q15841720
707,Q366876
708,Q653911
709,Q1174468
710,Q497075
711,NULL
712,Q59525
713,Q83233
714,Q156596
715,Q105875
716,Q24852137
717,Q1442674
718,Q356650
719,Q705440
720,Q2271522
721,Q280490
722,Q298905
723,Q270669
724,Q449238
725,Q468339
726,Q233856
727,Q182229
728,Q1616820
729,Q3435778
730,Q16201471
731,Q412771
732,Q1660432
733,Q7292453
734,Q460684
735,Q261314
736,Q502923
737,Q1857753
738,Q298295
739,Q11781538
740,Q1346696
741,Q72614
742,Q415562
743,Q529780
744,Q20020631
745,Q3430928
746,Q516092
747,Q2419093
748,Q11313
749,Q292399
750,Q269094
751,Q2158922
752,Q16731914
753,Q724586
754,NULL
755,Q353019
756,Q658614
757,Q104985462
758,Q721671
759,Q235759
760,Q1175128
761,Q16212641
762,Q7610486
763,Q61740820
764,Q55070915
765,Q5362559
766,Q2803671
767,Q317033
768,Q364342
769,Q2130828
770,Q6261809
771,Q22075534
772,Q726671
773,Q62099
774,Q1557489
775,Q7612676
776,Q11903371
777,Q522288
778,Q6390767
779,Q310379
780,NULL
781,Q319693
782,Q1189377
783,Q414820
784,Q2863473
785,Q18719350
786,Q502957
787,Q128746
788,Q6397775
789,Q355995
790,Q1824940
791,Q4804067
792,Q517040
793,Q506268
794,Q939842
795,Q541608
796,Q16159958
797,Q1617323
798,Q297523
799,Q16230245
800,Q357735
801,Q736466
802,Q489951
803,Q347945
804,Q2514268
805,Q40663946
806,Q6397121
807,Q363343
808,Q2576962
809,Q707064
810,Q467027
811,Q808917
812,Q2176956
813,Q5534603
814,Q573813
815,Q1365966
816,Q1319095
817,Q365199
818,Q975609
819,Q450022
820,Q1970454
821,Q6106999
822,Q1701183
823,Q959259
824,Q6702134
825,Q544658
826,Q965659
827,Q288337
828,Q31294
829,Q961893
830,Q19185
831,Q555910
832,Q529696
833,Q979511
834,Q16211594
835,Q318188
836,Q1094826
837,Q240370
838,Q1189128
839,NULL
840,Q927824
841,Q435034
842,Q335507
843,Q1381702
844,Q509015
845,Q1361541
846,Q568245
847,Q5423349
848,Q28941
849,Q31292
850,Q795022
851,Q7183409
852,Q207356
853,Q313841
854,Q922527
855,Q1379404
856,Q445438
857,NULL
858,Q3183784
859,Q1652953
860,Q8354
861,Q1711898
862,Q486883
863,Q317574
864,Q106777834
865,NULL
866,Q328379
867,Q144896
868,Q2613709
869,Q579550
870,Q457864
871,Q1718449
872,Q358023
873,Q727904
874,Q273502
875,Q1683011
876,Q117147
877,Q972585
878,Q11817
879,NULL
880,Q709857
881,Q727562
882,Q8586
883,Q1455793
884,Q63997
885,Q19297690
886,Q1543185
887,Q2377449
888,Q562874
889,Q1037848
890,Q213611
891,Q260963
892,Q363698
893,Q16198174
894,Q940271
895,Q518905
896,Q291686
897,Q72792
898,Q1346580
899,Q2802166
900,Q1387048
901,Q1685654
902,Q1040571
903,Q5240862
904,Q3017563
905,Q459814
906,Q973687
907,Q5273379
908,Q1168358
909,Q807536
910,Q28530138
911,Q359509
912,Q3170092
913,Q8342
914,Q246724
915,Q537808
916,Q18808589
917,Q709583
918,Q3018583
919,Q7668360
920,Q22115227
921,Q947044
922,Q1687602
923,Q49440371
924,Q3376961
925,Q840437
926,Q439536
927,Q1929804
928,Q436125
929,Q2059621
930,Q706668
931,Q463883
932,Q8651
933,Q1699139
934,Q261997
935,Q1305608
936,Q5217943
937,Q1356507
938,Q6274324
939,Q15694643
940,Q1516833
941,Q509671
942,Q588246
943,Q192185
944,Q1239909
945,Q6123672
946,Q508973
947,Q22107887
948,Q938810
949,Q385055
950,Q1386549
951,Q919063
952,Q1396531
953,Q786660
954,Q542167
955,Q30709794
956,Q346384
957,Q313371
958,Q470040
959,Q2517245
960,Q1494198
961,Q4758985
962,Q711664
963,Q22075519
964,Q452553
965,Q66637
966,Q1859686
967,Q487136
968,Q15821130
969,Q1159081
970,Q76532
971,Q180029
972,Q7535711
973,NULL
974,Q709413
975,Q1370251
976,Q888156
977,Q721174
978,Q926614
979,Q1350676
980,Q15839740
981,Q3736945
982,Q15885371
983,Q961851
984,Q543498
985,Q219910
986,Q728542
987,Q4768661
988,Q1358291
989,Q436384
990,Q710076
991,Q1902733
992,Q223408
993,Q455568
994,Q705058
995,Q16728001
996,Q1452750
997,Q19518362
998,Q934027
999,Q16063227
1000,Q4767409
1001,Q2224404
1002,Q281022
1003,Q1180730
1004,Q541621
1005,Q28123217
1006,Q5246414
1007,Q589483
1008,Q1126835
1009,Q16225244
1010,Q6379685
1011,Q11305
1012,NULL
1013,Q927472
1014,Q15885455
1015,Q526865
1016,Q703611
1017,Q6767169
1018,Q5145136
1019,Q695608
1020,Q168169
1021,Q5107534
1022,Q22075538
1023,Q71424
1024,Q15836491
1025,Q697096
1026,Q16193961
1027,Q1375642
1028,Q607280
1029,Q966018
1030,Q4913471
1031,Q2118269
1032,Q22008918
1033,Q448644
1034,Q5393137
1035,Q717851
1036,Q20815648
1037,Q716552
1038,Q4911333
1039,Q1271389
1040,Q5948227
1041,Q18045286
1042,Q278759
1043,Q1827244
1044,Q1126713
1045,Q1356226
1046,Q15865116
1047,Q602779
1048,Q22114100
1049,Q439194
1050,Q5107004
1051,Q712851
1052,Q455394
1053,Q723837
1054,Q1359405
1055,Q414908
1056,NULL
1057,Q19359572
1058,Q48703391
1059,Q1992382
1060,NULL
1061,Q1298183
1062,Q50474841
1063,Q1293513
1064,Q393686
1065,Q487136
1066,NULL
1067,Q721027
1068,Q43370948
1069,Q1743733
1070,Q2280900
1071,Q919642
1072,Q506001
1073,Q643529
1074,Q6248706
1075,Q6224742
1076,Q507252
1077,Q3406366
1078,Q47528380
1079,Q409875
1080,Q439364
1081,Q961454
1082,Q1705192
1083,Q139384
1084,NULL
1085,Q1332599
1086,Q7029566
1087,Q3521551
1088,Q327165
1089,Q487136
1090,Q453758
1091,Q436530
1092,Q3294200
1093,Q544960
1094,Q361720
1095,Q1336198
1096,Q509948
1097,Q708870
1098,Q15808023
1099,Q5075343
1100,Q6770108
1101,Q431611
1102,Q742896
1103,Q11775486
1104,Q983356
1105,Q708204
1106,Q2058196
1107,Q6770276
1108,Q61269987
1109,Q2675693
1110,Q12088491
1111,Q1051160
1112,Q1750698
1113,Q742622
1114,Q3749342
1115,Q1339881
1116,Q355289
1117,Q2581424
1118,Q2316737
1119,Q58814632
1120,Q544620
1121,Q6272244
1122,Q1409480
1123,Q19359565
1124,Q1668257
1125,Q8512
1126,Q176324
1127,Q19116423
1128,Q2433849
1129,Q587741
1130,Q2544556
1131,Q586320
1132,Q1132960
1133,Q1348041
1134,Q7184429
1135,Q1364297
1136,Q945402
1137,Q459177
1138,Q1077361
1139,Q29583521
1140,Q15840165
1141,Q293078
1142,Q84759640
1143,Q1699098
1144,Q457497
1145,Q214066
1146,Q15453518
1147,Q373115
1148,Q724012
1149,Q512041
1150,Q538824
1151,Q503480
1152,Q3196483
1153,Q7815804
1154,Q28540110
1155,Q664592
1156,Q1858445
1157,Q5265169
1158,Q341873
1159,Q1620897
1160,Q3115838
1161,Q410072
1162,Q329972
1163,Q1609199
1164,Q507861
1165,Q960311
1166,Q8728
1167,Q1319539
1168,Q1708414
1169,Q982880
1170,Q795100
1171,Q830079
1172,Q313270
1173,Q8289
1174,Q33124
1175,Q16875332
1176,Q323445
1177,Q507423
1178,Q831536
1179,Q5525833
1180,Q8339
1181,Q329998
1182,Q1089208
1183,Q645627
1184,Q568941
1185,Q451071
1186,Q5127380
1187,Q2899218
1188,Q314176
1189,Q1722867
1190,Q1538104
1191,Q1367518
1192,NULL
1193,Q541868
1194,Q16150266
1195,Q2331807
1196,Q439320
1197,Q351563
1198,Q3703287
1199,Q17292271
1200,Q912572
1201,Q1252563
1202,Q830079
1203,Q534825
1204,Q2173097
1205,Q376630
1206,Q487136
1207,Q827371
1208,Q1818885
1209,Q18217823
1210,Q15783382
1211,Q2522428
1212,Q295948
1213,Q1351247
1214,Q120983
1215,Q2089199
1216,Q1634597
1217,Q542481
1218,Q3568906
1219,Q862160
1220,Q5125353
1221,Q2347318
1222,Q365310
1223,Q362210
1224,Q1362097
1225,Q16198707
1226,Q15818581
1227,Q28839585
1228,Q7613575
1229,Q1827266
1230,NULL
1231,Q2261046
1232,Q543506
1233,Q18924429
1234,Q6193924
1235,Q47498703
1236,Q16212162
1237,Q1545033
1238,Q656655
1239,Q515883
1240,Q940393
1241,Q3701636
1242,Q1606794
1243,Q1159105
1244,Q766468
1245,Q15455190
1246,Q511446
1247,Q6791367
1248,Q1240386
1249,Q6373828
1250,Q7914705
1251,Q7052273
1252,Q7627249
1253,Q718606
1254,Q15834040
1255,Q325190
1256,Q436584
1257,NULL
1258,Q22075544
1259,Q1441455
1260,Q82958
1261,Q1822152
1262,Q381807
1263,Q7817415
1264,Q462027
1265,Q704080
1266,Q487136
1267,Q15885394
1268,Q15885376
1269,Q16146270
1270,Q539263
1271,NULL
1272,Q1806583
1273,Q722817
1274,Q1064629
1275,Q313554
1276,Q1604077
1277,NULL
1278,Q1315512
1279,Q1399974
1280,Q543179
1281,Q774270
1282,Q47498718
1283,Q1406095
1284,Q22075543
1285,Q1231435
1286,Q1286383
1287,Q1682531
1288,Q177219
1289,Q1680994
1290,Q1370195
1291,Q1476230
1292,Q487355
1293,Q543171
1294,Q366320
1295,Q823580
1296,Q3807917
1297,Q1973924
1298,Q2086416
1299,Q1373348
1300,Q1701116
1301,Q1291551
1302,Q19119517
1303,Q1494959
1304,Q7681203
1305,Q6263043
1306,Q123592
1307,Q332046
1308,Q1874018
1309,Q1691344
1310,Q706490
1311,Q2506653
1312,Q4772583
1313,Q16875126
1314,NULL
1315,Q539765
1316,Q551678
1317,NULL
1318,Q5273554
1319,Q1586410
1320,Q936212
1321,Q1699413
1322,Q1793822
1323,Q7381873
1324,Q2964777
1325,Q1362717
1326,NULL
1327,Q5106410
1328,NULL
1329,Q1279691
1330,Q6769166
1331,Q2549739
1332,Q6129717
1333,Q7363558
1334,Q505675
1335,Q8372
1336,Q717147
1337,Q1132892
1338,Q440027
1339,Q6769034
1340,Q6182734
1341,NULL
1342,Q3496862
1343,Q657828
1344,Q500259
1345,Q323271
1346,Q1313325
1347,Q712874
1348,Q6669571
1349,Q2791166
1350,Q449030
1351,Q92776622
1352,Q1162881
1353,Q1531054
1354,Q513356
1355,Q714747
1356,Q5318819
1357,Q508242
1358,Q415391
1359,Q29583521
1360,Q2585517
1361,Q3086978
1362,Q1678535
1363,Q16225121
1364,Q974385
1365,Q487136
1366,Q16198562
1367,Q1380910
1368,Q1569339
1369,Q82838167
1370,Q1521771
1371,Q6864022
1372,Q472951
1373,Q713301
1374,Q22075550
1375,Q3371500
1376,Q1741571
1377,Q2149700
1378,Q3035731
1379,NULL
1380,Q3791677
1381,Q5345448
1382,Q506302
1383,NULL
1384,Q512224
1385,Q7027795
1386,NULL
1387,Q1229499
1388,Q950808
1389,Q4911227
1390,Q539757
1391,Q968440
1392,Q5300549
1393,Q213811
1394,Q368378
1395,Q1582156
1396,NULL
1397,Q668877
1398,Q91933
1399,Q8114871
1400,Q8346
1401,Q3328202
1402,NULL
1403,Q1148248
1404,Q453461
1405,Q830079
1406,Q15709361
1407,Q1507653
1408,Q6194863
1409,Q5335230
1410,Q506734
1411,NULL
1412,Q964595
1413,Q393686
1414,Q28059546
1415,Q1273621
1416,Q47503052
1417,Q28530518
1418,Q15540157
1419,Q526861
1420,Q5539681
1421,Q4717050
1422,Q5237001
1423,Q1701885
1424,Q2514156
1425,Q3137
1426,Q124474
1427,Q327391
1428,Q22075556
1429,Q28530520
1430,Q16726115
1431,Q473475
1432,Q2357791
1433,Q1706967
1434,Q16207438
1435,Q364124
1436,Q439651
1437,Q466666
1438,Q5491692
1439,Q2166046
1440,Q1066019
1441,Q3700365
1442,NULL
1443,Q23669483
1444,NULL
1445,Q534994
1446,Q435241
1447,Q506014
1448,Q2150412
1449,NULL
1450,Q2735964
1451,Q678500
1452,Q7800273
1453,Q7347226
1454,Q314926
1455,NULL
1456,Q58814632
1457,Q2913255
1458,Q22074631
1459,Q460376
1460,Q506766
1461,Q70495
1462,Q916177
1463,Q447433
1464,Q16164109
1465,Q7177826
1466,Q506404
1467,Q15710740
1468,Q546453
1469,Q634059
1470,NULL
1471,Q1869820
1472,Q1699538
1473,Q22114874
1474,Q687997
1475,Q28839597
1476,Q2080733
1477,Q6776457
1478,Q459556
1479,Q1966681
1480,Q3776396
1481,Q4864769
1482,NULL
1483,Q1827728
1484,Q6766716
1485,NULL
1486,Q4731669
1487,Q3973135
1488,Q356614
1489,Q15632105
1490,Q1424757
1491,Q527052
1492,Q3420519
1493,NULL
1494,Q462905
1495,Q105993238
1496,Q998799
1497,NULL
1498,Q1380406
1499,Q367614
1500,Q1656923
1501,NULL
1502,Q16731142
1503,Q1585851
1504,Q1343394
1505,Q16734293
1506,Q28020865
1507,Q984007
1508,Q3101687
1509,Q1701288
1510,NULL
1511,Q16193503
1512,Q166723
1513,NULL
1514,NULL
1515,Q15832725
1516,Q40701
1517,Q7440991
1518,NULL
1519,Q16210323
1520,Q516764
1521,Q7509070
1522,Q28530138
1523,Q6948475
1524,Q26847118
1525,Q329073
1526,Q1375195
1527,Q64768198
1528,Q180645
1529,Q1351634
1530,Q509701
1531,Q439444
1532,Q506995
1533,Q236708
1534,Q8009759
1535,Q435908
1536,Q6460024
1537,Q1065205
1538,Q146051
1539,Q743189
1540,Q8599
1541,Q1479778
1542,Q5203158
1543,Q89017
1544,Q86885
1545,Q132302
1546,Q7373472
1547,Q570352
1548,Q1679448
1549,Q5300430
1550,Q187269
1551,Q2062658
1552,Q6176209
1553,Q544350
1554,Q817511
1555,Q1239201
1556,Q3880432
1557,Q413141
1558,Q1809192
1559,Q4911249
1560,Q1127299
1561,Q22101971
1562,NULL
1563,Q376138
1564,NULL
1565,Q1670986
1566,Q7839497
1567,Q1443750
1568,Q450620
1569,Q19519205
1570,Q1903560
1571,Q16116887
1572,Q11284
1573,Q887797
1574,NULL
1575,Q1126623
1576,Q675536
1577,Q1802451
1578,Q1508565
1579,Q7324071
1580,Q507122
1581,Q176524
1582,Q1634694
1583,Q261615
1584,Q2653343
1585,Q745648
1586,Q17521933
1587,Q506304
1588,Q16193228
1589,Q913173
1590,Q2094844
1591,Q15823656
1592,Q1706396
1593,Q1911409
1594,Q13471727
1595,Q6115256
1596,Q1449921
1597,Q822271
1598,Q7342791
1599,Q1702242
1600,Q2373669
1601,Q6245206
1602,Q4115621
1603,Q8662
1604,Q1173828
1605,Q1998209
1606,Q376563
1607,Q3809962
1608,Q19631454
1609,Q1443916
1610,NULL
1611,Q1718481
1612,Q16210211
1613,Q439853
1614,Q1439818
1615,Q3426152
1616,Q16734557
1617,Q1065815
1618,Q1728848
1619,Q978680
1620,Q1631803
1621,Q180899
1622,NULL
1623,NULL
1624,Q1380831
1625,Q3266803
1626,Q515294
1627,Q2344540
1628,Q1496347
1629,Q16229781
1630,Q911744
1631,NULL
1632,Q5078430
1633,Q1754756
1634,Q1691570
1635,Q30709683
1636,Q1690722
1637,Q1430524
1638,Q1573916
1639,Q1699673
1640,Q2054753
1641,Q1230940
1642,Q436748
1643,Q16733957
1644,NULL
1645,Q4829042
1646,Q1356497
1647,Q1489815
1648,Q6248943
1649,Q364405
1650,Q15849216
1651,Q1543195
1652,NULL
1653,Q588933
1654,Q6939467
1655,Q6173303
1656,Q1999710
1657,Q21994332
1658,Q487090
1659,Q16006580
1660,Q816504
1661,NULL
1662,Q690973
1663,Q1444294
1664,Q332043
1665,Q337089
1666,Q424938
1667,Q459551
1668,Q5256332
1669,NULL
1670,Q16734760
1671,Q2579783
1672,Q7407350
1673,Q1818548
1674,Q441842
1675,Q7325136
1676,Q1418234
1677,Q728558
1678,Q1127284
1679,Q16857518
1680,Q517831
1681,Q16211967
1682,NULL
1683,Q1442462
1684,Q7349772
1685,Q3183201
1686,Q4889043
1687,Q458458
1688,Q887947
1689,Q22075558
1690,Q452236
1691,Q505114
1692,Q5293041
1693,Q1174420
1694,Q1117915
1695,Q1691721
1696,Q1424476
1697,Q1508118
1698,Q96777
1699,Q5539579
1700,NULL
1701,Q6491159
1702,NULL
1703,Q4795252
1704,Q513410
1705,Q505353
1706,Q893712
1707,Q1767860
1708,Q4069232
1709,Q8013896
1710,Q22102096
1711,Q181230
1712,Q16886364
1713,Q5407284
1714,Q1818748
1715,Q5394805
1716,Q6390383
1717,Q998528
1718,Q3038828
1719,Q516683
1720,Q435007
1721,Q1412129
1722,Q1702126
1723,Q507137
1724,Q1690720
1725,Q1040441
1726,Q1273552
1727,Q957361
1728,Q536264
1729,Q5494048
1730,Q3960118
1731,Q7328524
1732,Q518558
1733,Q5546145
1734,Q1655499
1735,Q1711853
1736,Q19278334
1737,Q3942889
1738,Q7519094
1739,Q355289
1740,Q390731
1741,Q464764
1742,Q2798353
1743,NULL
1744,Q17314542
1745,Q505035
1746,Q16199139
1747,NULL
1748,Q16207538
1749,Q4910718
1750,Q16886125
1751,Q1586690
1752,Q1764766
1753,NULL
1754,Q355289
1755,Q4899402
1756,Q206802
1757,Q3487133
1758,Q412883
1759,Q1451208
1760,Q599840
1761,Q7818040
1762,Q1160785
1763,NULL
1764,Q1859204
1765,Q434645
1766,Q16008142
1767,Q16205866
1768,Q719424
1769,Q1136806
1770,Q28933997
1771,Q1712018
1772,Q3810369
1773,Q6235705
1774,Q2075453
1775,Q1390055
1776,Q1277190
1777,Q1173216
1778,Q7372659
1779,Q2157493
1780,Q2148960
1781,Q83651063
1782,Q460045
1783,Q516566
1784,Q965367
1785,Q1161655
1786,Q1929353
1787,Q730318
1788,Q357386
1789,Q4799463
1790,Q364163
1791,Q16019388
1792,Q332325
1793,NULL
1794,Q506888
