,Work_period_start,Work_period_end,Wiki_id
179,"work period (start)
1975
1 reference",,http://www.wikidata.org/entity/Q3089275
180,"work period (start)
2003
1 reference",,http://www.wikidata.org/entity/Q3092199
181,"work period (start)
2010
1 reference",,http://www.wikidata.org/entity/Q3194679
182,"work period (start)
1988
1 reference",,http://www.wikidata.org/entity/Q3181904
183,,,http://www.wikidata.org/entity/Q3192762
184,"work period (start)
1953
1 reference",,http://www.wikidata.org/entity/Q3202714
185,"work period (start)
2011
1 reference",,http://www.wikidata.org/entity/Q2995813
186,"work period (start)
2003
1 reference",,http://www.wikidata.org/entity/Q3053437
187,"work period (start)
2001
1 reference",,http://www.wikidata.org/entity/Q3057324
188,"work period (start)
1998
1 reference",,http://www.wikidata.org/entity/Q3429883
189,,,http://www.wikidata.org/entity/Q3121114
190,"work period (start)
2002
1 reference",,http://www.wikidata.org/entity/Q3136554
191,,,http://www.wikidata.org/entity/Q3401469
192,"work period (start)
1970
1 reference",,http://www.wikidata.org/entity/Q2993510
193,"work period (start)
1976
1 reference",,http://www.wikidata.org/entity/Q3181097
194,"work period (start)
1984
1 reference",,http://www.wikidata.org/entity/Q3184645
195,"work period (start)
1991
1 reference",,http://www.wikidata.org/entity/Q3472307
196,"work period (start)
2003
1 reference",,http://www.wikidata.org/entity/Q3299726
197,"work period (start)
1955
1 reference","work period (end)
1977
0 references",http://www.wikidata.org/entity/Q3133978
198,"work period (start)
1991
1 reference",,http://www.wikidata.org/entity/Q3520208
199,,,http://www.wikidata.org/entity/Q3348898
200,,,http://www.wikidata.org/entity/Q3351688
201,"work period (start)
1932
1 reference",,http://www.wikidata.org/entity/Q3351806
202,,,http://www.wikidata.org/entity/Q3012414
203,"work period (start)
1960
1 reference",,http://www.wikidata.org/entity/Q3401588
204,,,http://www.wikidata.org/entity/Q2992971
205,"work period (start)
1999
1 reference",,http://www.wikidata.org/entity/Q2995800
206,"work period (start)
2002
1 reference",,http://www.wikidata.org/entity/Q3124846
207,,,http://www.wikidata.org/entity/Q3481958
208,"work period (start)
1954
1 reference",,http://www.wikidata.org/entity/Q3288794
209,"work period (start)
2012
1 reference",,http://www.wikidata.org/entity/Q3483111
210,"work period (start)
1937
1 reference",,http://www.wikidata.org/entity/Q3294532
