,imdb_id,debut_films
86,nm1110573,"[['1987', 'Madhavacharya', 'tt0230483'], ['2011/II', 'Apart', 'tt3107780'], ['2011/II', 'Apart', 'tt3107780']]"
87,nm0201927,"[['1972', 'Tata Manavadu', 'tt0262810'], ['1971', 'Koothuru Kodalu', 'tt1389515'], ['1975', 'Swargam Narakam', 'tt0262802'], ['1980', 'Buchi Babu', 'tt0262309']]"
88,nm0854918,"[['1974', 'Ankur', 'tt0071145'], ['1973', 'Duvidha', 'tt0070009']]"
89,nm0579445,"[['1950', 'Parijatam', 'tt6258812'], ['1993', 'Butterflies', 'tt0291781'], ['1983', 'Prem Nazirine Kanmanilla', 'tt0259518']]"
90,nm0304350,"[['1974', 'Parinay', 'tt0266832'], ['2015', 'Me', 'tt3172500']]"
91,nm0756380,"[['1984', 'Mohan Joshi Hazir Ho!', 'tt0087736'], ['1988', 'Tamas', 'tt0247896']]"
92,nm0348004,"[['1993', 'Shikast', 'tt5029216'], ['2014', 'Bird Co. Media', 'tt1340553']]"
93,nm0419741,"[['1993', 'Hindola', 'tt3818856']]"
94,nm0787509,"[['1988', 'Tamacha', 'tt0364048'], ['2009/I', 'Rita', 'tt1503723'], ['2009/I', 'Rita', 'tt1503723'], ['2018', 'Pipsi: A Bottle Full of Hope', 'tt7430996']]"
95,nm0239270,"[['1974', 'Ankur', 'tt0071145'], ['1967', 'Maya', 'tt0061278'], ['1971', 'Shantata! Court Chalu Aahe', 'tt0295599'], ['2003', 'Ishq Vishk', 'tt0362771']]"
96,nm0006348,"[['1948', 'Mela', 'tt0137947'], ['1970', 'The Train', 'tt0246286'], ['1966', 'Phool Aur Patthar', 'tt0139525'], ['1981', 'Love Story', 'tt0234141']]"
97,nm0610799,"[['1929', 'Pati Patni', 'tt0392596'], ['1997', 'Loha', 'tt0440590'], ['1940', 'Bahurani', 'tt0373706'], ['1975', 'Nishant', 'tt0073458']]"
98,nm0422586,"[['1983', 'Kaise Kaise Log', 'tt0357821'], ['1995', 'Akele Hum Akele Tum', 'tt0112313']]"
99,nm0352031,"[['1980', 'Nenjathai Killathe', 'tt0235617'], ['1981', 'Rajangam', 'tt0314556']]"
100,nm0329727,"[['1972', 'Swayamvaram', 'tt0069334'], ['1979', 'Njattadi', 'tt0216038'], ['1993', 'Padheyam', 'tt0155934'], ['1983', 'Prem Nazirine Kanmanilla', 'tt0259518']]"
101,nm0239267,"[['1997', 'Kabhie Kabhie', 'tt0307763'], ['2019', 'Womanly Voices', 'tt11390154'], ['2017', 'Kanyadaan', 'tt7146484'], ['2004', 'Lakshya', 'tt0323013']]"
