,wiki_id
1707,Q1767860
1288,Q177219
1928,Q178716
1322,Q1793822
202,Q179497
971,Q180029
1577,Q1802451
535,Q180251
1041,Q18045286
81,Q180560
2081,Q1806083
1528,Q180645
1272,Q1806583
1621,Q180899
1558,Q1809192
568,Q180975
1711,Q181230
154,Q181413
532,Q181683
305,Q181774
410,Q181786
151,Q181799
403,Q181819
1673,Q1818548
1714,Q1818748
298,Q181887
1208,Q1818885
261,Q181899
312,Q181917
135,Q181936
551,Q182057
304,Q182104
1209,Q18217823
1261,Q1822152
727,Q182229
442,Q182292
456,Q182349
228,Q182372
297,Q182408
395,Q182431
227,Q182450
480,Q182462
307,Q182486
790,Q1824940
1043,Q1827244
1229,Q1827266
109,Q182763
1483,Q1827728
561,Q182870
1952,Q182986
624,Q18341834
212,Q18350026
174,Q183532
105,Q185051
205,Q185079
44,Q185140
605,Q185655
737,Q1857753
1156,Q1858445
1764,Q1859204
590,Q185928
966,Q1859686
1471,Q1869820
99,Q187033
2132,Q1871863
785,Q18719350
1550,Q187269
155,Q187364
1308,Q1874018
916,Q18808589
116,Q188459
303,Q188726
11,Q188955
1233,Q18924429
258,Q189422
12,Q189490
253,Q189895
530,Q18994
991,Q1902733
1570,Q1903560
134,Q190523
185,Q190994
188,Q190998
296,Q191027
2003,Q1911401
1593,Q1911409
1127,Q19116423
1302,Q19119517
110,Q19155
40,Q191828
830,Q19185
943,Q192185
180,Q192410
560,Q1926986
1736,Q19278334
558,Q19282738
1786,Q1929353
885,Q19297690
927,Q1929804
522,Q1935109
1123,Q19359565
1057,Q19359572
111,Q193628
265,Q193653
117,Q193668
997,Q19518362
1569,Q19519205
1852,Q19629057
1608,Q19631454
1479,Q1966681
375,Q1969967
820,Q1970454
490,Q1971984
1297,Q1973924
125,Q19848
673,Q1986436
1059,Q1992382
2159,Q1993551
1605,Q1998209
50,Q199884
1806,Q1999283
1656,Q1999710
91,Q2001
744,Q20020631
61,Q200534
138,Q20178
1812,Q2020181
255,Q202144
204,Q202172
102,Q202735
0,Q202765
2111,Q2032329
2153,Q2036265
338,Q203819
31,Q204299
376,Q204685
1640,Q2054753
1106,Q2058196
929,Q2059621
1837,Q2062126
2056,Q2062426
1551,Q2062658
1799,Q2063009
362,Q206439
587,Q20668153
1756,Q206802
852,Q207356
1774,Q2075453
435,Q207773
1476,Q2080733
1036,Q20815648
1298,Q2086416
1912,Q2087704
1215,Q2089199
2116,Q2093312
1590,Q2094844
550,Q21012756
145,Q211144
1031,Q2118269
49,Q212026
545,Q212762
387,Q212957
769,Q2130828
249,Q213287
437,Q213302
890,Q213611
1393,Q213811
1145,Q214066
1950,Q214664
694,Q214665
1780,Q2148960
1377,Q2149700
1448,Q2150412
1803,Q2151619
1779,Q2157493
2105,Q2157833
1953,Q2158525
1896,Q2158543
751,Q2158922
88,Q215976
556,Q2161534
2012,Q2161758
1439,Q2166046
1204,Q2173097
160,Q217573
812,Q2176956
140,Q219124
291,Q219521
985,Q219910
1657,Q21994332
426,Q220010
1032,Q22008918
641,Q22073999
601,Q22074016
1927,Q22074629
1458,Q22074631
963,Q22075519
1919,Q22075529
771,Q22075534
1022,Q22075538
1284,Q22075543
1258,Q22075544
1374,Q22075550
1825,Q22075553
1428,Q22075556
1689,Q22075558
2149,Q22075559
655,Q22075563
136,Q220901
1988,Q22101864
1561,Q22101971
1710,Q22102096
2168,Q22102131
1823,Q22102137
947,Q22107887
1048,Q22114100
1473,Q22114874
920,Q22115227
526,Q2221492
1001,Q2224404
1826,Q2224530
190,Q223233
992,Q223408
